,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comments,ComplianceStatus,Outlier,ZipCode,Latitude,Longitude,Address,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,MainEnergy,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
2755,21656,2016,NonResidential,Worship Facility,JAPANESE BAPTIST CHURCH,2197600015,3,EAST,1922,1.0,2.0,22688,0,22688,"('Worship Facility',)",Worship Facility,22688.0,None,0.0,None,0.0,(),87.0,14.60000038,17.29999924,36.40000153,41.5,331675.0,391818.4063,0.0,67007.0,228628.0,1030.469971,103047.0,0.0,7.07,0.31,False,,Compliant,,98122.0,47.60321889,-122.3205567,160 BROADWAY,22688.0,94,7562.666666666667,0.0,False,False,0,0.0,0.6893133338358333,0.31068666616416674,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.12007033319712154,12.87855376220483,1.9558604799084813
2792,21687,2016,NonResidential,Other,DES SEATTLE ALASKA ST. BUILDING,2224049003,2,SOUTHEAST,1962,1.0,2.0,22364,0,22364,"('Adult Education', ' Parking')",Adult Education,22364.0,Parking,0.0,None,0.0,(),,65.59999847,72.69999695,116.40000149999999,123.90000149999999,1467030.0,1625774.5,0.0,149141.2031,508870.0,9581.599609,958160.0,0.0,54.44,2.43,False,,Compliant,,98118.0,47.56028,-122.28913999999999,3411 S ALASKA STREET,22364.0,54,7454.666666666667,0.0,False,False,0,0.0,0.34687088880254663,0.6531291111974533,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.12040232208887505,14.301494875585554,3.9970991777832654
2793,21688,2015,NonResidential,Non-Refrigerated Warehouse,JUNEAU STREET ASSOC,2224049009,2,SOUTHEAST,1952,1.0,1.0,27435,0,27435,"('Medical Office', ' Non-Refrigerated Warehouse')",Non-Refrigerated Warehouse,19120.0,Medical Office,8315.0,None,0.0,(),49.0,44.9,54.2,94.5,104.3,1231572.0,1487513.0,0.0,182198.0,621684.0,6099.0,609888.0,0.0,36.72,1.24,False,,Compliant,,98118,47.54941353,-122.2866398,3613 S JUNEAU ST,27435.0,63,13717.5,0.0,False,False,0,0.0,0.5047890013738539,0.4952109986261461,0.0,(s),e,n,(o),(s)en(o),Electricity,0.1452636116526317,14.21261615585953,3.6033215657522897
2795,21689,2016,NonResidential,Small- and Mid-Sized Office,DEPT OF SOCIAL & HEALTH SERVICES (WSDSHS) - COPY FOR MAKENSAY,2224049035,2,GREATER DUWAMISH,1982,1.0,2.0,41262,0,41262,"('Office',)",Office,40738.0,None,0.0,None,0.0,(),84.0,46.70000076,49.09999847,146.6999969,154.3000031,1903455.0,2001403.875,0.0,557870.875,1903455.0,0.0,0.0,0.0,13.27,0.32,False,,Compliant,,98118.0,47.546929999999996,-122.28718,3600 S. GRAHAM ST.,40738.0,34,13754.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.10818122801114956,14.509359429781318,2.5855058483441162
2820,21716,2015,NonResidential,Small- and Mid-Sized Office,223 TAYLOR (TIME WARNER TELECOM),1991200270,7,LAKE UNION,1953,1.0,2.0,43183,0,43183,"('Data Center', ' Office')",Office,26580.0,Data Center,11497.0,None,0.0,(),1.0,198.1,203.4,574.7,574.8,7542610.0,7743013.0,0.0,1958231.0,6681762.0,8608.0,860848.0,0.0,92.3,1.47,False,,Compliant,high,98109,47.62047684,-122.3466741,223 TAYLOR AVE N,38077.0,62,14394.333333333334,0.0,False,False,0,0.0,0.8858686847125862,0.11413131528741377,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.10741396798572803,15.862301446303265,4.525044141508807
2827,21723,2016,NonResidential,Worship Facility,FAIRVIEW CHURCH (ID21723),2464400730,4,NORTH,1908,1.0,3.0,45680,0,45680,"('Worship Facility',)",Worship Facility,45680.0,None,0.0,None,0.0,(),79.0,45.5,52.40000153,71.0,78.59999847,2077040.0,2394061.75,0.0,149282.4063,509352.0,15676.87891,1567688.0,0.0,86.81,1.9,False,,Compliant,,98115.0,47.68566,-122.31849,7801 ROOSEVELT WAY NE,45680.0,108,11420.0,0.0,False,False,0,0.0,0.24522975002888725,0.7547702499711127,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.09298616853599001,14.688501958418199,4.463721822403716
2846,21741,2016,NonResidential,Senior Care Community,MIRABELLA SEATTLE,2468400005,7,LAKE UNION,2006,1.0,14.0,724148,0,724148,"('Senior Care Community',)",Senior Care Community,726000.0,None,0.0,None,0.0,(),8.0,52.09999847,53.90000153,122.90000149999999,124.90000149999999,37797082.0,39120828.0,0.0,6951462.0,23718388.0,140786.9375,14078694.0,0.0,913.07,1.26,False,,Compliant,,98109.0,47.61935,-122.33389,116 FAIRVIEW AVE. N.,726000.0,10,48276.53333333333,0.0,False,False,0,0.0,0.627519023823056,0.37248097617694403,0.0,(s),e,n,(o),(s)en(o),Electricity,0.03301986804344548,17.482165568551075,6.816812547973584
2854,21768,2015,NonResidential,Worship Facility,MARS HILL CHURCH WEST SEATTLE,2492200485,1,SOUTHWEST,1957,1.0,1.0,23562,0,23562,"('Office', ' Worship Facility')",Worship Facility,18278.0,Office,15212.0,None,0.0,(),95.0,16.4,16.4,51.6,51.6,550790.0,550767.0,0.0,161421.0,550790.0,0.0,0.0,0.0,3.84,0.06,False,,Compliant,,98126,47.53442484,-122.3770926,7551 35TH AVE SW,33490.0,58,11781.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.14796377729929658,13.21906713118776,1.3454723665996355
2861,21772,2015,NonResidential,Small- and Mid-Sized Office,ARTISTS LOFTS,2516000050,6,BALLARD,1999,1.0,4.0,28844,0,28844,"('Office', ' Other')",Office,10292.0,Other,10200.0,None,0.0,(),,45.2,49.6,142.0,155.8,926961.0,1016744.0,0.0,271666.0,926961.0,0.0,0.0,0.0,6.46,0.09,False,,Compliant,,98107,47.65800828,-122.3653349,700 NW 42ND ST,20492.0,16,5768.8,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.09710885770759288,13.832115922596417,1.8656293177945105
2862,21774,2016,SPS-District K-12,K-12 School,WEST SEATTLE ELEMENTARY,2524039050,1,DELRIDGE,1988,1.0,2.0,54528,0,54528,"('K-12 School',)",K-12 School,54285.0,None,0.0,None,0.0,(),75.0,36.29999924,37.29999924,114.09999850000001,117.09999850000001,1972078.0,2024296.625,0.0,577983.125,1972078.0,0.0,0.0,0.0,13.75,0.25,True,,Error - Correct Default Data,,98126.0,47.54176,-122.37348999999999,6760 34TH AVE. S.W.,54285.0,28,18176.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.1037436155289204,14.520732852505281,2.6210388241125804
